Date,Open,High,Low,Close,Volume,Market Cap
"Sep 11, 2020","10,369.03","10,434.92","10,140.84","10,400.91","45,201,121,775","192,275,791,669"
"Sep 10, 2020","10,242.33","10,503.91","10,238.14","10,363.14","54,406,443,211","191,568,387,062"
"Sep 09, 2020","10,134.15","10,350.54","10,017.25","10,242.35","24,128,292,755","189,325,507,175"
"Sep 08, 2020","10,369.31","10,414.78","9,945.11","10,131.52","33,430,927,462","187,267,336,728"
"Sep 07, 2020","10,281.00","10,399.15","9,916.49","10,369.56","33,703,098,409","191,657,203,885"
"Sep 06, 2020","10,167.22","10,353.93","10,056.89","10,280.35","37,071,460,174","189,997,214,393"
"Sep 05, 2020","10,512.53","10,581.57","9,946.68","10,169.57","44,916,565,292","187,940,141,276"
"Sep 04, 2020","10,230.37","10,663.92","10,207.94","10,511.81","29,965,130,374","194,255,818,704"
"Sep 03, 2020","11,407.19","11,443.02","10,182.47","10,245.30","31,927,261,555","189,322,069,063"
"Sep 02, 2020","11,964.82","11,964.82","11,290.79","11,414.03","28,037,405,299","210,909,793,681"
"Sep 01, 2020","11,679.32","12,067.08","11,601.13","11,970.48","27,311,555,343","221,181,001,607"
"Aug 31, 2020","11,713.31","11,768.88","11,598.32","11,680.82","22,285,928,250","215,817,677,822"
"Aug 30, 2020","11,508.71","11,715.26","11,492.38","11,711.51","19,760,127,945","216,373,660,045"
"Aug 29, 2020","11,541.05","11,585.64","11,466.29","11,506.87","17,485,597,759","212,583,870,983"
"Aug 28, 2020","11,325.30","11,545.62","11,316.42","11,542.50","19,807,127,588","213,231,661,583"
"Aug 27, 2020","11,485.61","11,570.79","11,185.94","11,323.40","23,240,415,076","209,172,436,817"
"Aug 26, 2020","11,366.89","11,530.05","11,296.99","11,488.36","22,466,660,958","212,210,534,428"
"Aug 25, 2020","11,773.59","11,778.30","11,189.85","11,366.14","26,301,509,932","209,942,744,481"
"Aug 24, 2020","11,663.69","11,807.63","11,623.25","11,774.60","20,681,511,755","217,477,962,650"
"Aug 23, 2020","11,679.70","11,713.43","11,559.92","11,664.85","18,482,062,658","215,439,967,321"
"Aug 22, 2020","11,585.48","11,689.41","11,448.81","11,681.83","20,224,191,306","215,742,068,895"
"Aug 21, 2020","11,878.03","11,899.26","11,564.98","11,592.49","23,762,425,999","214,082,401,861"
"Aug 20, 2020","11,761.50","11,900.41","11,710.06","11,878.37","20,175,242,945","219,350,310,326"
"Aug 19, 2020","11,990.88","12,028.92","11,687.33","11,758.28","24,502,851,117","217,122,068,305"
"Aug 18, 2020","12,251.90","12,335.71","11,954.53","11,991.23","26,043,227,672","221,413,097,553"
"Aug 17, 2020","11,895.66","12,359.06","11,806.70","12,254.40","28,227,687,027","226,261,747,567"
"Aug 16, 2020","11,866.69","11,934.90","11,737.19","11,892.80","20,583,375,490","219,576,092,170"
"Aug 15, 2020","11,768.70","11,963.20","11,768.70","11,865.70","23,354,924,400","219,064,372,745"
"Aug 14, 2020","11,772.66","12,150.99","11,685.46","11,768.87","24,237,958,589","217,265,120,503"
"Aug 13, 2020","11,588.41","11,796.40","11,216.87","11,784.14","27,522,199,497","217,534,728,413"
